0,Q^2=9.7 GeV^2,,,E_beam = 8.4 GeV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Run Number,Date,Start Time,End Time,Target,"Beam Current
 (uA)","SBS Current 
(A)","BigBite Current
(A)","BBCal
Threshold (mV)","HCal
Threshold (mV)",Gas Target Pressure (PSIA),Target Polarization [%] (most recent NMR),IHWP state (IN/OUT),Plots Ok and in log book?,Good run ?,"Number of Events
(M)",Trigger Rate [Hz],Charge (C),Charge Corrected for Polarization (C),Accumulated Charge Corrected (C),Accumulated Charge Uncorrected (C),Prescales,Purpose,Notes/Comments,Uncorrected Accumulated Charge (C) on Fringe (for target experts),,,,,,,,,,,,,,,,,,,,,
4095,2/12/2023,16:02,16:58,pol He3 cell,5-25,2100,750,-350,-26,,56.9,IN,yes,yes,0.204,125,0.066,0.106,33.555,29.208,"ps1=2, ps3=0, ps5=6, all others -1",production,,,,,,,,,,,,,,,,,,,,,,,
4096,2/12/2023,17:02,17:57,pol He3 cell,20,2100,750,-350,-26,,56.9,IN,yes,yes,0.126,125,0.043,0.069,33.624,29.251,"ps1=2, ps3=0, ps5=6, all others -1",production,Uncertain about the Grinch plots ,,,,,,,,,,,,,,,,,,,,,,
4097,2/12/2023,17:59,18:58,pol He3 cell,20-25,2100,750,-350,-26,,56.9,IN,yes,yes,0.181,125,0.058,0.092,33.716,29.309,"ps1=2, ps3=0, ps5=6, all others -1",production,,,,,,,,,,,,,,,,,,,,,,,
4098,2/12/2023,19:03,19:46,pol He3 cell,25,2100,750,-350,-26,,53.5,IN,yes,yes,0.205,125,0.064,0.090,33.806,29.373,"ps1=2, ps3=0, ps5=6, all others -1",production,,,,,,,,,,,,,,,,,,,,,,,
4099,2/12/2023,19:48,20:52,pol He3 cell,25-30,2100,750,-350,-26,,53.5,IN,yes,yes,0.317,150,0.097,0.137,33.943,29.470,"ps1=2, ps3=0, ps5=6, all others -1",production,,,,,,,,,,,,,,,,,,,,,,,
4100,2/12/2023,20:53,22:33,pol He3 cell,25,2100,750,-350,-26,,53.5,IN,yes,yes,0.420,125,0.133,0.188,34.130,29.602,"ps1=2, ps3=0, ps5=6, all others -1",production,,,,,,,,,,,,,,,,,,,,,,,
4101,2/12/2023,22:37,23:37,pol He3 cell,25,2100,750,-350,-26,,53.4,IN,yes,yes,0.240,125,0.077,0.108,34.238,29.679,"ps1=2, ps3=0, ps5=6, all others -1",production,,,,,,,,,,,,,,,,,,,,,,,
4102,2/12/2023,23:40,1:31,pol He3 cell,25,2100,750,-350,-26,,53.4,IN,yes,yes,0.302,125,0.099,0.140,34.378,29.778,"ps1=2, ps3=0, ps5=6, all others -1",production,,,,,,,,,,,,,,,,,,,,,,,
4103,2/13/2023,1:33,2:27,pol He3 cell,25,2100,750,-350,-26,,53.4,IN,yes,yes,0.168,120,0.057,0.080,34.458,29.835,"ps1=2, ps3=0, ps5=6, all others -1",production,,,,,,,,,,,,,,,,,,,,,,,
4104,2/13/2023,2:32,4:05,pol He3 cell,21,2100,750,-350,-26,,53.8,IN,yes,yes,0.325,80,0.109,0.156,34.614,29.944,"ps1=2, ps3=0, ps5=6, all others -1",production,,,,,,,,,,,,,,,,,,,,,,,
4105,2/13/2023,4:09,5:35,pol He3 cell,21,2100,750,-350,-26,,53.8,IN,yes,yes,0.341,80,0.112,0.161,34.775,30.057,"ps1=2, ps3=0, ps5=6, all others -1",production,,,,,,,,,,,,,,,,,,,,,,,
4106,2/13/2023,5:37,6:09,pol He3 cell,25-30,2100,750,-350,-26,,53.8,IN,maybe,maybe,0.114,105,0.033,0.047,34.822,30.090,"ps1=2, ps3=0, ps5=6, all others -1",production,HCAL TDC shift of 30ns ... ,,,,,,,,,,,,,,,,,,,,,,
4107,2/13/2023,6:12,7:05,pol He3 cell,30-35,2100,750,-350,-26,,54.2,IN,yes,yes,0.193,125,0.057,0.082,34.905,30.146,"ps1=2, ps3=0, ps5=6, all others -1",production,,,,,,,,,,,,,,,,,,,,,,,
4110,2/13/2023,13:15,15:47,no target,0-10,2100,750,-350,-26,,48.7,IN,no,no,0.133,125,,,,,"ps1=2, ps3=0, ps5=6, all others -1",beam tuning,junk,,,,,,,,,,,,,,,,,,,,,,
4111,2/13/2023,15:51,15:59,carbon hole,10,2100,750,-350,-26,,54.2,IN,yes,yes,0.320,1000,,,,,"ps1=0, ps3=0, ps5=6, all others -1",raster check,BBCal thresholds at -205 mV,,,,,,,,,,,,,,,,,,,,,,
4112,2/13/2023,16:47,19:05,no target,0,2100,750,-55,-25,,48.7,IN,,,0.530,0-150,,,,,"ps1=0, ps5=6, all others -1",Cosmic Run,Beam down for a few hours,,,,,,,,,,,,,,,,,,,,,,
4113,2/13/2023,23:02,23:15,carbon hole,10,2100,750,-200,-25,,45.5,IN,,,0.714,1000,,,,,"ps1=0, ps5=6, all others -1",Carbon hole short run,,,,,,,,,,,,,,,,,,,,,,,
4114,2/13/2023,23:42,0:43,pol He3 cell,25,2100,750,-350,-25,,49.8,IN,yes,yes,0.276,125,0.083,0.102,35.006,30.229,"ps1=2, ps3=0, ps5=6, all others -1",production,beam checkout,,,,,,,,,,,,,,,,,,,,,,
4115,2/14/2023,0:46,1:47,pol He3 cell,25,2100,750,-350,-26,,49.8,IN,yes,yes,0.301,125,0.089,0.109,35.115,30.318,"ps1=2, ps3=0, ps5=6, all others -1",production,,,,,,,,,,,,,,,,,,,,,,,
4116,2/14/2023,1:48,2:08,pol He3 cell,25,2100,750,-350,-26,,49.8,IN,yes,yes,0.080,125,0.026,0.032,35.147,30.344,"ps1=2, ps3=0, ps5=6, all others -1",production,daq crashed - ROC16 SLOT 21 Busy,,,,,,,,,,,,,,,,,,,,,,
4117,2/14/2023,2:10,3:27,pol He3 cell,25,2100,750,-350,-26,,49.8,IN,yes,yes,0.419,125,0.122,0.149,35.296,30.466,"ps1=2, ps3=0, ps5=6, all others -1",production,,,,,,,,,,,,,,,,,,,,,,,
4118,2/14/2023,3:31,4:32,pol He3 cell,25,2100,750,-350,-26,,49.1,IN,yes,yes,0.264,125,0.077,0.092,35.388,30.543,"ps1=2, ps3=0, ps5=6, all others -1",production,,,,,,,,,,,,,,,,,,,,,,,
4119,2/14/2023,4:34,5:33,pol He3 cell,25-30,2100,750,-350,-26,,49.1,IN,yes,yes,0.353,125,0.096,0.114,35.502,30.639,"ps1=2, ps3=0, ps5=6, all others -1",production,,,,,,,,,,,,,,,,,,,,,,,
4120,2/14/2023,5:53,7:30,pol He3 cell,30-40,2100,750,-350,-26,,49.1,IN,yes,yes,0.580,175,0.150,0.179,35.681,30.789,"ps1=2, ps3=0, ps5=6, all others -1",production,,,,,,,,,,,,,,,,,,,,,,,
4121,2/14/2023,7:36,8:43,pol He3 cell,40,2100,750,-350,-26,,50,IN,yes,yes,0.462,200,0.112,0.138,35.819,30.901,"ps1=2, ps3=0, ps5=6, all others -1",production,no beam last 10min,,,,,,,,,,,,,,,,,,,,,,
4122,2/14/2023,9:02,9:28,pol He3 cell,40,2100,750,-350,-26,,50,IN,yes,yes,0.076,200,0.019,0.023,35.843,30.920,"ps1=2, ps3=0, ps5=6, all others -1",production,no beam last 10min,,,,,,,,,,,,,,,,,,,,,,
4152,2/15/2023,,,carbon hole,10,2100,750,-200,-26,,,IN,,,0.244,,,,,,"ps1=0, ps5=6, all others -1",Carbon hole short run,beam checkout,,,,,,,,,,,,,,,,,,,,,,
4155,2/15/2023,1:37,2:22,pol He3 cell,10-40,2100,750,-350,-26,,52.1,IN,yes,yes,0.168,125,0.047,0.063,35.906,30.967,"ps1=2, ps3=0, ps5=6, all others -1",production,stopped the run as per MCC request,,,,,,,,,,,,,,,,,,,,,,
4156,2/15/2023,2:40,3:41,pol He3 cell,30,2100,750,-350,-26,,52.8,IN,yes,yes,0.295,125,0.083,0.114,36.020,31.050,"ps1=2, ps3=0, ps5=6, all others -1",production,,,,,,,,,,,,,,,,,,,,,,,
4157,2/15/2023,3,,pol He3 cell,,2100,750,-350,-26,,52.8,IN,,,,,,0.000,36.020,31.050,"ps1=2, ps3=0, ps5=6, all others -1",junk,daq crashed,,,,,,,,,,,,,,,,,,,,,,
4159,2/15/2023,4:05,5:07,pol He3 cell,32,2100,750,-350,-26,,52.8,IN,yes,yes,0.100,150,0.026,0.036,36.056,31.076,"ps1=2, ps3=0, ps5=6, all others -1",production,plots look low on statistics,,,,,,,,,,,,,,,,,,,,,,
4160,2/15/2023,5:25,6:25,pol He3 cell,25,2100,750,-350,-26,,52.8,IN,yes,yes,0.221,125,0.065,0.089,36.145,31.141,"ps1=2, ps3=0, ps5=6, all others -1",production,,,,,,,,,,,,,,,,,,,,,,,
4164,2/15/2023,7:00,7:51,pol He3 cell,25,2100,750,-350,-26,,54.6,IN,yes,yes,0.282,125,0.081,0.119,36.264,31.222,"ps1=2, ps3=0, ps5=6, all others -1",production,,,,,,,,,,,,,,,,,,,,,,,
4165,2/15/2023,7:54,8:57,pol He3 cell,25,2100,750,-350,-26,,54.6,IN,yes,yes,0.325,125,0.094,0.138,36.403,31.316,"ps1=2, ps3=0, ps5=6, all others -1",production,,,,,,,,,,,,,,,,,,,,,,,
4166,2/15/2023,9:03,,pol He3 cell,25,2100,750,-350,-26,,54.6,IN,,,,125,,0.000,36.403,31.316,"ps1=2, ps3=0, ps5=6, all others -1",production,Run only has 2k events,,,,,,,,,,,,,,,,,,,,,,
4167,2/15/2023,9:11,10:05,pol He3 cell,25,2100,750,-350,-26,,54.6,IN,yes,yes,0.317,125,0.080,0.118,36.521,31.396,"ps1=2, ps3=0, ps5=6, all others -1",production,,,,,,,,,,,,,,,,,,,,,,,
4168,2/15/2023,10:14,11:01,pol He3 cell,25,2100,750,-350,-26,,54.6,IN,yes,yes,0.439,125,0.103,0.152,36.672,31.499,"ps1=2, ps3=0, ps5=6, all others -1",production,,,,,,,,,,,,,,,,,,,,,,,
4169,2/15/2023,11:07,11:58,pol He3 cell,40,2100,750,-350,-26,,54.6,IN,yes,yes,0.438,125,0.102,0.150,36.822,31.601,"ps1=2, ps3=0, ps5=6, all others -1",production,,,,,,,,,,,,,,,,,,,,,,,
4170,2/15/2023,12:02,13:02,pol He3 cell,40,2100,750,-350,-26,,54.6,IN,yes,yes,0.361,125,0.084,0.124,36.946,31.685,"ps1=2, ps3=0, ps5=6, all others -1",production,,,,,,,,,,,,,,,,,,,,,,,
4171,2/15/2023,13:06,14:00,pol He3 cell,40,2100,750,-350,-26,,54.6,IN,yes,yes,0.413,125,0.098,0.144,37.090,31.783,"ps1=2, ps3=0, ps5=6, all others -1",production,,,,,,,,,,,,,,,,,,,,,,,
4172,2/15/2023,14:04,14:40,pol He3 cell,40,2100,750,-350,-26,,54.6,IN,yes,yes,0.350,125,0.081,0.119,37.210,31.864,"ps1=2, ps3=0, ps5=6, all others -1",production,,,,,,,,,,,,,,,,,,,,,,,
4173,2/15/2023,14:52,15:51,pol He3 cell,40,2100,750,-350,-26,,54.6,IN,yes,yes,0.497,125,0.116,0.171,37.380,31.980,"ps1=2, ps3=0, ps5=6, all others -1",production,,,,,,,,,,,,,,,,,,,,,,,
4174,2/15/2023,15:55,16:58,pol He3 cell,40,2100,750,-350,-26,,50.7,IN,yes,yes,0.202,125,0.046,0.059,37.439,32.027,"ps1=2, ps3=0, ps5=6, all others -1",production,No beam for 45 minutes at end of run,,,,,,,,,,,,,,,,,,,,,,
4175,2/15/2023,17:04,18:04,pol He3 cell,40,2100,750,-350,-26,,50.7,IN,yes,yes,0.444,200,0.104,0.132,37.571,32.131,"ps1=2, ps3=0, ps5=6, all others -1",production,,,,,,,,,,,,,,,,,,,,,,,
4176,2/15/2023,18:06,19:08,pol He3 cell,40,2100,750,-350,-26,,50.7,IN,yes,yes,0.476,200,0.112,0.142,37.714,32.243,"ps1=2, ps3=0, ps5=6, all others -1",production,One SBS GEM HV channel (inline_uva_l3m3) tripped around 18:49. Reset after 2-3 minutes.,,,,,,,,,,,,,,,,,,,,,,
4177,2/15/2023,19:11,19:13,pol He3 cell,40,2100,750,-350,-26,,50.7,IN,yes,yes,,0,,0.000,37.714,32.243,"ps1=2, ps3=0, ps5=6, all others -1",junk,DAQ failure,,,,,,,,,,,,,,,,,,,,,,
4178,2/15/2023,19:22,20:02,pol He3 cell,40,2100,750,-350,-26,,50.7,IN,yes,yes,0.401,200,0.092,0.117,37.830,32.335,"ps1=2, ps3=0, ps5=6, all others -1",production,,,,,,,,,,,,,,,,,,,,,,,
4179,2/15/2023,20:31,21:39,pol He3 cell,40,2100,750,-350,-26,,47,IN,yes,yes,0.555,210,0.128,0.140,37.970,32.463,"ps1=2, ps3=0, ps5=6, all others -1",production,,,,,,,,,,,,,,,,,,,,,,,
4180,2/15/2023,21:40,22:46,pol He3 cell,40,2100,750,-350,-26,,47,IN,yes,yes,0.659,210,0.148,0.161,38.131,32.611,"ps1=2, ps3=0, ps5=6, all others -1",production,,,,,,,,,,,,,,,,,,,,,,,
4181,2/15/2023,22:48,23:46,pol He3 cell,41,2100,750,-350,-26,,47,IN,yes,yes,0.622,210,0.137,0.150,38.281,32.748,"ps1=2, ps3=0, ps5=6, all others -1",production,,,,,,,,,,,,,,,,,,,,,,,
4182,2/15/2023,23:50,0:51,pol He3 cell,41,2100,750,-350,-26,,47,IN,yes,yes,0.603,210,0.134,0.146,38.427,32.882,"ps1=2, ps3=0, ps5=6, all others -1",production,,,,,,,,,,,,,,,,,,,,,,,
4183,2/16/2023,0:55,1:06,pol He3 cell,41,2100,750,-350,-26,,49.4,IN,yes,no,,210,,0.000,38.427,32.882,"ps1=2, ps3=0, ps5=6, all others -1",junk,DAQ failure,,,,,,,,,,,,,,,,,,,,,,
4184,2/16/2023,,,pol He3 cell,,,,,,,,IN,,,,,,0.000,38.427,32.882,"ps1=2, ps3=0, ps5=6, all others -1",junk,RC gui Frozen,,,,,,,,,,,,,,,,,,,,,,
4186,2/16/2023,1:50,2:50,pol He3 cell,41,2100,750,-350,-26,,49.4,IN,yes,yes,0.344,210,0.079,0.095,38.522,32.961,"ps1=2, ps3=0, ps5=6, all others -1",production,,,,,,,,,,,,,,,,,,,,,,,
4187,2/16/2023,2:52,3:50,pol He3 cell,41,2100,750,-350,-26,,49.4,IN,yes,yes,0.527,210,0.117,0.141,38.663,33.078,"ps1=2, ps3=0, ps5=6, all others -1",production,,,,,,,,,,,,,,,,,,,,,,,
4188,2/16/2023,3:52,4:47,pol He3 cell,41,2100,750,-350,-26,,49.4,IN,yes,yes,0.308,210,0.069,0.083,38.747,33.147,"ps1=2, ps3=0, ps5=6, all others -1",production,,,,,,,,,,,,,,,,,,,,,,,
4189,2/16/2023,4:51,5:25,pol He3 cell,40,2100,750,-350,-26,,51.1,IN,yes,no,,210,,0.000,38.747,33.147,"ps1=2, ps3=0, ps5=6, all others -1",junk,daq crashed,,,,,,,,,,,,,,,,,,,,,,
4190,2/16/2023,5:32,6:31,pol He3 cell,25-30,2100,750,-350,-26,,51.1,IN,yes,yes,0.255,120,0.070,0.090,38.837,33.217,"ps1=2, ps3=0, ps5=6, all others -1",production,,,,,,,,,,,,,,,,,,,,,,,
4191,2/16/2023,,,pol He3 cell,,2100,750,-350,-26,,51.1,,,,,,,0.000,38.837,33.217,"ps1=2, ps3=0, ps5=6, all others -1",junk,beam was off all day,,,,,,,,,,,,,,,,,,,,,,
4192,2/16/2023,18:08,18:19,carbon hole,10,2100,750,-250,-26,,N/A,OUT,yes,yes,0.326,,,0.000,38.837,33.217,"ps1=0, ps3=0, ps5=6, all others -1",carbon hole,SBS Gems off,,,,,,,,,,,,,,,,,,,,,,
4193,2/16/2023,18:31,,pol He3 cell,,2100,750,-350,-26,,49,OUT,yes,no,,,,0.000,38.837,33.217,"ps1=2, ps3=0, ps5=6, all others -1",junk,DAQ crash (sbsvme29ROC1) SBS Gems off,,,,,,,,,,,,,,,,,,,,,,
4194,2/16/2023,20:05,21:06,pol He3 cell,40,2100,750,-350,-26,,49,OUT,yes,yes,0.313,200,0.078,0.093,38.929,33.295,"ps1=2, ps3=0, ps5=6, all others -1",production,SBS Gems off,,,,,,,,,,,,,,,,,,,,,,
4195,2/16/2023,21:09,21:47,pol He3 cell,40,2100,750,-350,-26,,49,OUT,yes,yes,0.387,200,0.090,0.107,39.036,33.385,"ps1=2, ps3=0, ps5=6, all others -1",production,SBS Gems off,,,,,,,,,,,,,,,,,,,,,,
4196,2/16/2023,21:49,22:53:00,pol He3 cell,40,2100,750,-350,-26,,49,OUT,yes,yes,0.477,200,0.114,0.135,39.171,33.499,"ps1=2, ps3=0, ps5=6, all others -1",production,SBS Gems off,,,,,,,,,,,,,,,,,,,,,,
4197,2/16/2023,22:58,0:05,pol He3 cell,40,2100,750,-350,-26,,51.3,OUT,hodo suspicious,yes,0.430,200,0.105,0.136,39.307,33.604,"ps1=2, ps3=0, ps5=6, all others -1",production,"Some Hcal channels were off / ""getcharge"" says no data available for N event ""see message"" (but there is no message)",,,,,,,,,,,,,,,,,,,,,,
4198,2/17/2023,0:08,1:55:00,pol He3 cell,40,2100,750,-350,-26,,51.3,OUT,yes,yes,0.884,200,0.206,0.267,39.574,33.809,"ps1=2, ps3=0, ps5=6, all others -1",production,looks good,,,,,,,,,,,,,,,,,,,,,,
4199,2/17/2023,1:57,3:09,pol He3 cell,40,2100,750,-350,-26,,51.3,OUT,yes,yes,0.544,200,0.128,0.166,39.741,33.937,"ps1=2, ps3=0, ps5=6, all others -1",production,,,,,,,,,,,,,,,,,,,,,,,
4200,2/17/2023,3:17,4:33,pol He3 cell,40,2100,750,-350,-26,,50.6,OUT,yes,yes,0.353,200,0.087,0.110,39.851,34.024,"ps1=2, ps3=0, ps5=6, all others -1",production,,,,,,,,,,,,,,,,,,,,,,,
4201,2/17/2023,4:37,6:22,pol He3 cell,40,2100,750,-350,-26,,50.6,OUT,yes,yes,0.612,200,0.151,0.192,40.042,34.176,"ps1=2, ps3=0, ps5=6, all others -1",production,,,,,,,,,,,,,,,,,,,,,,,
4202,2/17/2023,6:24,7:10,pol He3 cell,40,2100,750,-350,-26,,50.6,OUT,"no beam for most, just did a full replay",not sure,0.027,,0.006,0.007,40.050,34.182,"ps1=2, ps3=0, ps5=6, all others -1",production,beam went off. very short maybe junk,,,,,,,,,,,,,,,,,,,,,,
4203,2/17/2023,7:21,9:15,pol He3 cell,40,2100,750,-350,-26,,52.4,OUT,yes,yes,0.804,200,0.199,0.270,40.320,34.381,"ps1=2, ps3=0, ps5=6, all others -1",production,,,,,,,,,,,,,,,,,,,,,,,
4204,2/17/2023,9:18,10:06,pol He3 cell,35,2100,750,-350,-26,,52.4,OUT,yes,yes,0.288,200,0.074,0.100,40.420,34.455,"ps1=2, ps3=0, ps5=6, all others -1",production,,,,,,,,,,,,,,,,,,,,,,,
4214,2/17/2023,11:10,12:09,pol He3 cell,35,2100,750,-350,-26,,52.4,OUT,yes,yes,0.380,200,0.097,0.132,40.551,34.552,"ps1=2, ps3=0, ps5=6, all others -1",production,,,,,,,,,,,,,,,,,,,,,,,
4215,2/17/2023,12:22,12:54,pol He3 cell,35,2100,750,-350,-26,,52.2,OUT,yes,yes,0.219,200,0.057,0.077,40.628,34.609,"ps1=2, ps3=0, ps5=6, all others -1",production,SBS GEM on - Run stops because DAQ hang (SBS GEM APV issue),,,,,,,,,,,,,,,,,,,,,,
4216,2/17/2023,13:01,13:55,pol He3 cell,35,2100,750,-350,-26,,52.2,OUT,yes,yes,0.373,200,0.093,0.125,40.753,34.702,"ps1=2, ps3=0, ps5=6, all others -1",production,,,,,,,,,,,,,,,,,,,,,,,
4217,2/17/2023,13:59,14:47,pol He3 cell,35,2100,750,-350,-26,,52.2,OUT,yes,yes,0.169,200,0.041,0.055,40.808,34.743,"ps1=2, ps3=0, ps5=6, all others -1",production,Run stops because of ongoing beam downtime for more than 15 min,,,,,,,,,,,,,,,,,,,,,,
4218,2/17/2023,15:41,15:58,pol He3 cell,35,2100,750,-350,-26,,52.2,OUT,yes,yes,0.140,200,0.036,0.049,40.857,34.779,"ps1=2, ps3=0, ps5=6, all others -1",production,,,,,,,,,,,,,,,,,,,,,,,
4219,2/17/2023,16:11,17:09,pol He3 cell,35,2100,750,-350,-26,,52.2,OUT,yes,yes,0.330,175,0.084,0.113,40.970,34.862,"ps1=2, ps3=0, ps5=6, all others -1",production,SBS GEMs off; configuration change to GEnII-NoSBSGems,,,,,,,,,,,,,,,,,,,,,,
4220,2/17/2023,17:28,18:28,pol He3 cell,35,2100,750,-350,-26,,53.3,OUT,yes,yes,0.422,175,0.102,0.143,41.112,34.964,"ps1=2, ps3=0, ps5=6, all others -1",production,SBS GEMs off,,,,,,,,,,,,,,,,,,,,,,
4221,2/17/2023,,,,,,,,,,,,no,no,,,,,,,"ps1=2, ps3=0, ps5=6, all others -1",junk,DAQ crash and beamline off,,,,,,,,,,,,,,,,,,,,,,
4222,2/17/2023,,,,,,,,,,,,,,,,,,,,"ps1=2, ps3=0, ps5=6, all others -1",junk,Prestart collected too much background,,,,,,,,,,,,,,,,,,,,,,
4223,2/17/2023,21:04,22:03,pol He3 cell,35,2100,750,-350,-26,,53.3,OUT,yes,yes,0.374,175,0.096,0.135,41.247,35.060,"ps1=2, ps3=0, ps5=6, all others -1",production,SBS GEMs off,,,,,,,,,,,,,,,,,,,,,,
4224,2/17/2023,22:21,23:06,pol He3 cell,35,2100,750,-350,-26,,39.7,OUT,yes,yes,0.484,175,0.116489,0.091,41.338,35.177,"ps1=2, ps3=0, ps5=6, all others -1",production,"DAQ crash, but end successful; SBS Gems off",,,,,,,,,,,,,,,,,,,,,,
4225,,,,,,,,,,,,,,,,,,,,,,junk,,,,,,,,,,,,,,,,,,,,,,,
4226,,,,,,,,,,,,,,,,,,,,,,junk,,,,,,,,,,,,,,,,,,,,,,,
4227,,,,,,,,,,,,,,,,,,,,,,junk,,,,,,,,,,,,,,,,,,,,,,,
4228,,,,,,,,,,,,,,,,,,,,,,junk,,,,,,,,,,,,,,,,,,,,,,,
4229,,,,,,,,,,,,,,,,,,,,,,junk,,,,,,,,,,,,,,,,,,,,,,,
4230,2/18/2023,0:31,0:51,pol He3 cell,45,2100,750,-350,-26,,39.7,OUT,yes,yes,0.574,200,0.012,0.010,41.347,35.189,"ps1=2, ps3=0, ps5=6, all others -1",production,,,,,,,,,,,,,,,,,,,,,,,
4231,2/18/2023,0:54,2:30,pol He3 cell,45,2100,750,-350,-26,,39.7,OUT,yes,yes,0.726,250,0.163,0.127,41.474,35.352,"ps1=2, ps3=0, ps5=6, all others -1",production,,,,,,,,,,,,,,,,,,,,,,,
4232,2/18/2023,2:44,3:01,pol He3 cell,0,2100,750,-350,-26,,47.8,OUT,NO,NO,0.007,0,,,,,"ps1=2, ps3=0, ps5=6, all others -1",junk,no beam,,,,,,,,,,,,,,,,,,,,,,
4233,2/18/2023,3:10,4:33,pol He3 cell,45,2100,750,-350,-26,,47.8,OUT,yes,yes,0.573,250,0.135908,0.153,41.628,35.488,"ps1=2, ps3=0, ps5=6, all others -1",production,,,,,,,,,,,,,,,,,,,,,,,
4234,2/18/2023,4:34,5:37,pol He3 cell,45,2100,750,-350,-26,,47.8,OUT,yes,yes,0.240,250,0.056,0.063,41.691,35.544,"ps1=2, ps3=0, ps5=6, all others -1",production,,,,,,,,,,,,,,,,,,,,,,,
4235,2/18/2023,5:44,,,,,,,,,,,,,,,,,,,,junk,beam position off taking a run with target away to make sure no proble with daq (wondering if something weird in daq),,,,,,,,,,,,,,,,,,,,,,
4236,2/18/2023,5:49,6:45,pol He3 cell,45,2100,750,-350,-26,,47.8,OUT,yes,yes,0.201,250,0.047,0.053,41.744,35.591,"ps1=2, ps3=0, ps5=6, all others -1",production,"good. stopped because no beam, but then had fire alarm issues and long down time",,,,,,,,,,,,,,,,,,,,,,
4237,2/18/2023,9:13,9:23,No Target,45,2100,750,-15,-26,,52.9,OUT,,no,,,,,,,"ps1=2, ps3=0, ps5=6, all others -1",Cosmic,"Rates too high, probably noise",,,,,,,,,,,,,,,,,,,,,,
4238,2/18/2023,9:31,,No Target,45,2100,750,-50,-26,,52.9,OUT,,yes,,,,,,,"ps1=0, ps3=0, ps5=6, all others -1",Cosmic,DAQ crash,,,,,,,,,,,,,,,,,,,,,,
4239,2/18/2023,9:41,11:58,No Target,45,2100,750,-50,-26,,52.9,OUT,,yes,,,,,,,"ps1=0, ps3=0, ps5=6, all others -1",Cosmic,SBS and BB magnets off (back on for last half hour-ish),,,,,,,,,,,,,,,,,,,,,,
4240,2/18/2023,12:00,12:15,No Target,45,2100,750,-50,-26,,52.9,OUT,,yes,,,,,,,"ps1=0, ps3=0, ps5=6, all others -1",Cosmic,SBS and BB magnets back on (tunred off for the last like 3 minutes),,,,,,,,,,,,,,,,,,,,,,
4241,2/18/2023,13:33,14:41,No Target,45,2100,750,-50,-26,,52.9,OUT,,yes,0.527,,,,,,"ps1=0, ps3=0, ps5=6, all others -1",Cosmic,SBS and BB magnets off; ended in DAQ crash,,,,,,,,,,,,,,,,,,,,,,
4242,2/18/2023,,,,,,,,,,,,,,,,,,,,,junk,trying to get DAQ started,,,,,,,,,,,,,,,,,,,,,,
4243,2/18/2023,,,,,,,,,,,,,,,,,,,,,junk,trying to get DAQ started,,,,,,,,,,,,,,,,,,,,,,
4244,2/18/2023,,,,,,,,,,,,,,,,,,,,,junk,trying to get DAQ started,,,,,,,,,,,,,,,,,,,,,,
4245,2/18/2023,,,,,,,,,,,,,,,,,,,,,junk,trying to get DAQ started,,,,,,,,,,,,,,,,,,,,,,
4246,2/18/2023,,,,,,,,,,,,,,,,,,,,,junk,trying to get DAQ started,,,,,,,,,,,,,,,,,,,,,,
4247,2/18/23,,,,,,,,,,,,,,,,,,,,,junk,trying to get DAQ started,,,,,,,,,,,,,,,,,,,,,,
4248,2/18/2023,21:08,21:10,No Target,45,2100,750,-50,-26,,52.9,OUT,yes,yes,0.029,450,,,,,"ps2=0, all others -1",Cosmic,,,,,,,,,,,,,,,,,,,,,,,
4249,2/18/2023,22:48,22:48,Carbon hole,10,2100,750,-50,-26,,,IN,yes,yes,0.070,3000,,,,,"ps1=0, ps3=0, ps5=6, all others -1",carbon hole,,,,,,,,,,,,,,,,,,,,,,,
4250,2/18/2023,23:10,23:12,Carbon hole,10,2100,750,-50,-26,,,IN,yes,yes,0.219,3000,,,,,"ps1=0, ps3=0, ps5=6, all others -1",carbon hole,,,,,,,,,,,,,,,,,,,,,,,
4251,2/18/2023,23:52,1:41,pol He3 cell,45,2100,750,-50,-26,,51.2,IN,yes,yes,1.088,250,0.236,0.306,42.050,35.827,"ps1=2, ps3=0, ps5=6, all others -1",production,,,,,,,,,,,,,,,,,,,,,,,
4252,2/19/2023,1:45,2:57,pol He3 cell,45,2100,750,-50,-26,,51.2,IN,yes,yes,0.904,280,0.187,0.242,42.292,36.014,"ps1=2, ps3=0, ps5=6, all others -1",production,,,,,,,,,,,,,,,,,,,,,,,
4253,2/19/2023,3:00,3:47,pol He3 cell,45,2100,750,-50,-26,,51.2,IN,yes,yes,0.580,280,0.121,0.157,42.448,36.135,"ps1=2, ps3=0, ps5=6, all others -1",production,,,,,,,,,,,,,,,,,,,,,,,
4254,2/19/2023,3:53,5:37,pol He3 cell,45,2100,750,-50,-26,,49.9,IN,yes,yes,1.035,280,0.217,0.267,42.715,36.352,"ps1=2, ps3=0, ps5=6, all others -1",production,,,,,,,,,,,,,,,,,,,,,,,
4255,2/19/2023,5:38,6:18,pol He3 cell,45,2100,750,-50,-26,,49.9,IN,,unlikely,,,,,,,"ps1=2, ps3=0, ps5=6, all others -1",production,"DAQ crash after 30k, probably junk run",,,,,,,,,,,,,,,,,,,,,,
