Date,PC X UP,PC X DOWN,TC UP,TC DOWN
10 23 22 38,4.026,3.854,17.0636,17.2837
10 24 1 44,4.959,4.725,22.018,22.1678
10 24 6 11,5.585,5.316,25.3648,25.4579
10 24 10 14,5.622,5.329,24.6544,24.6738
